2.000000000000000000e+00,1.600063430785160223e+00
3.000000000000000000e+00,1.556623371408105694e+00
4.000000000000000000e+00,6.897537222330134554e-01
5.000000000000000000e+00,2.159068570788873764e-01
6.000000000000000000e+00,3.409789934171331138e-01
7.000000000000000000e+00,2.992750901717343703e-01
8.000000000000000000e+00,6.075036321815292517e-01
9.000000000000000000e+00,2.074581260567076590e-01
1.000000000000000000e+01,2.828518286518691416e-01
1.100000000000000000e+01,1.640050456928640876e-01
1.200000000000000000e+01,1.520480094461759413e-01
1.300000000000000000e+01,0.000000000000000000e+00
